id,director
7879,john lasseter
4945,joe johnston
26502,howard deutch
2178,forest whitaker
56106,charles shyer
638,michael mann
2226,sydney pollack
18357,peter hewitt
37710,peter hyams
10702,martin campbell
3026,rob reiner
14639,mel brooks
21879,simon wells
1152,oliver stone
16938,renny harlin
1032,martin scorsese
1614,ang lee
3110,allison anders
3111,alexandre rockwell
2294,robert rodriguez
138,quentin tarantino
4489,steve oedekerk
52629,joseph ruben
5174,barry sonnenfeld
15148,jon amiel
7187,richard donner
56349,victor salva
6111,mike figgis
56710,oliver parker
15798,lesli linka glatter
7017,roger michell
2419,jean-pierre jeunet
13680,marc caro
607,zhang yimou
60295,john n. smith
280,terry gilliam
2352,jean-jacques annaud
58137,chris noonan
12952,christopher hampton
504,tim robbins
77867,stephen low
17167,andy tennant
57434,amy heckerling
16730,darrell james roodt
33315,richard loncraine
11447,albert hughes
11448,allen hughes
52405,michael hoffman
4014,paul w.s. anderson
5216,gus van sant
3047,jocelyn moorhouse
7467,david fincher
65530,mike gabriel
65531,eric goldberg
55439,patricia rozema
9032,bryan singer
100505,richard w. munchkin
1243,woody allen
128107,gianni amelio
71338,holly goldberg sloan
140354,ulu grosbard
30586,robert tinnell
1038,jodie foster
28898,michael radford
38527,robert lepage
7908,frank oz
19304,john schlesinger
18356,stephen herek
45649,paris barclay
49361,bill bennett
57870,jason bloom
69721,farhad mann
15890,james foley
35137,josiane balasko
37932,f. gary gray
70850,andrew sipes
5656,noah baumbach
16862,claude lelouch
10296,michael goldenberg
58712,steve miner
25735,christian duguay
1080309,susanne ofteringer
2228,sean penn
18069,brian gibson
120229,jafar panahi
5501,gary fleder
13496,marleen gorris
27771,tim reid
117075,henry jaglom
55038,philip haas
578,ridley scott
29009,ken kwapis
58448,penelope spheeris
12840,john badham
72624,john duigan
3224,stephen frears
5140,wes craven
34849,ted demme
11401,john woo
11181,kenneth branagh
2406,mathieu kassovitz
92561,nick broomfield
23213,harold becker
5655,wes anderson
14692,nick castle
21053,john dahl
17494,dennis dugan
190,clint eastwood
18969,doris dörrie
65298,brian henson
64077,robert leacock
1234226,james bruce
2461,mel gibson
44916,stanley tong
23393,barbet schroeder
184475,mort ransen
20849,étienne chatiliez
82293,jon blair
81020,benjamin ross
68185,eric schaeffer
12989,andrew davis
36147,charles t. kanganis
68215,reginald hudlin
12453,wong kar-wai
65314,giuseppe tornatore
17883,david o. russell
16589,peter macdonald
239321,moufida tlatli
93632,michel negroponte
122583,bryan gordon
41670,rebecca miller
125543,michael lindsay-hogg
15175,william friedkin
114997,ángel muñiz
84445,craig baldwin
12920,david s. ward
1077999,mark rappaport
45382,dirk shafer
93911,terence davies
1080311,sandip ray
18250,jon avnet
5342,mike nichols
1285121,jakov sedlar
12833,edward burns
865,michael bay
56828,christopher cain
65390,scott kalvert
10723,mike newell
91343,hal hartley
6159,ron howard
30365,michael caton-jones
39104,abel ferrara
5572,joel schumacher
793,luis buñuel
19665,john boorman
46391,paul auster
39819,wayne wang
17087,michael moore
11887,brad silberling
5281,spike lee
664,frank marshall
893,tony scott
17447,terry zwigoff
21712,carl franklin
1090,john mctiernan
19224,gregg araki
68774,christopher menaul
3415,jerry zucker
56998,dwight h. little
1978,iain softley
252806,christopher ashley
59997,robert longo
33279,danny cannon
58316,john fortenberry
51917,larry clark
6400,tom dicillo
31211,clive barker
38516,denys arcand
42617,antonia bird
19303,kevin smith
42111,bryan spicer
44847,david anspaugh
58384,anthony waller
54469,michael almereyda
11472,irwin winkler
10965,chris columbus
56714,daisy von scherler mayer
28902,gregory widen
26487,norman rené
16863,todd haynes
8965,roland joffé
10491,paul verhoeven
5306,lasse hallström
21370,roger donaldson
408,james keach
14392,kathryn bigelow
24882,jacques demy
17880,wesley strick
63713,martha coolidge
1128,agnieszka holland
20237,beeban kidron
32277,geoff murphy
3092,diane keaton
588623,douglas keeve
22767,alfonso aráu
8300,kevin reynolds
73494,desmond nakano
1723,walter hill
17309,greg beeman
82796,nikita mikhalkov
1364800,milčo mančevski
564,richard linklater
57691,tamra davis
43468,guy ferland
18378,herbert ross
44990,peter horton
27991,stuart gordon
19969,pat o'connor
25210,jeremy leven
8246,barry levinson
225065,rené bonnière
58154,jack baran
3556,roman polanski
18596,taylor hackford
7396,peter farrelly
7395,bobby farrelly
56205,atom egoyan
1201,garry marshall
510,tim burton
8844,lawrence kasdan
7904,billy crystal
148119,phillip borsos
15775,kevin lima
56147,paul brizzi
57090,brett leonard
87695,carlo carlei
67794,gérard corbiau
1566166,mark lewis
129534,art clokey
97755,charles burnett
122449,steve james
108,peter jackson
77121,randall miller
57851,bernard rose
32593,steven brill
1203,j. f. lawton
64061,fred schepisi
17016,neil jordan
54441,james ivory
73668,james melkonian
8858,ivan reitman
56872,arne glimcher
62043,michael gottlieb
1,george lucas
58094,gillian armstrong
11218,alfonso cuarón
15488,ken loach
19069,claude chabrol
9181,edward zwick
20561,james gray
58463,glenn gordon caron
15912,stephen gyllenhaal
55476,nicholas hytner
27444,james orr
9248,nora ephron
24318,richard benjamin
56911,les mayfield
5065,david frankel
16395,gregory nava
54971,marc rocco
6729,robert benton
10781,michael apted
17278,nick gomez
129957,tōru murakawa
70905,vadim jean
63937,albert pyun
131792,alan jacobs
13563,norman jewison
7256,lee tamahori
2873,anne goursaud
5231,wolfgang petersen
59,luc besson
6495,mira nair
23757,joshua brand
16214,mario van peebles
4135,robert redford
994323,kayo hatta
23724,patrice chéreau
7623,sam raimi
12804,peter yates
9789,robert altman
1126,krzysztof kieślowski
77305,he ping
45642,fred gerber
133793,george mihalka
1524,harold ramis
107274,richard rich
102445,john sayles
26648,luis llosa
6046,roland emmerich
58072,john pasquin
4027,frank darabont
2034,danny boyle
101444,scott mcgehee
101446,david siegel
72646,tomás gutiérrez alea
72647,juan carlos tabío
